director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mia Hansen-Løve,Mia Hansen-Løve (director/screenplay),unknown,unknown,Drama,father of my children,Mia Hansen-Løve (director/screenplay) unknown unknown Mia Hansen-Løve Drama
Emilio Rodríguez,Emilio Rodríguez (director); Emilio Rodríguez,Josh Arms,Tino Rodríguez,Action Comedy,the last shot,Emilio Rodríguez (director); Emilio Rodríguez Josh Arms Tino Rodríguez Emilio Rodríguez Action Comedy
Jean-Pierre Jeunet,Jean-Pierre Jeunet (director),unknown,unknown,Action Comedy Crime,micmacs,Jean-Pierre Jeunet (director) unknown unknown Jean-Pierre Jeunet Action Comedy Crime
George A. Romero,George A. Romero (director); Alan van Sprang,Devon Bostick,unknown,Comedy Horror Thriller,survival of the dead,George A. Romero (director); Alan van Sprang Devon Bostick unknown George A. Romero Comedy Horror Thriller
Nicholas Stoller,Jonah Hill,Russell Brand,Rose Byrne,Comedy Adventure Music,get him to the greek,Jonah Hill Russell Brand Rose Byrne Nicholas Stoller Comedy Adventure Music
Robert Luketic,Ashton Kutcher,Katherine Heigl,Tom Selleck,Crime Action,killers,Ashton Kutcher Katherine Heigl Tom Selleck Robert Luketic Crime Action
Tom Dey,Owen Wilson,George Lopez,Emma Stone,Family Comedy,marmaduke,Owen Wilson George Lopez Emma Stone Tom Dey Family Comedy
Vincenzo Natali,Adrien Brody,Sarah Polley,Delphine Chanéac,Horror Thriller Science Fiction,splice,Adrien Brody Sarah Polley Delphine Chanéac Vincenzo Natali Horror Thriller Science Fiction
Julie Davis,Leelee Sobieski,Kristen Johnston,Matt Davis,Comedy,finding bliss,Leelee Sobieski Kristen Johnston Matt Davis Julie Davis Comedy
"Bill Boyd, John Bruno, Carl Cocomo, Lorenzo Dardado, Paul DiAmico, Steve DiBiaso, Nola Hand, Jeanne Hibbard",Bill Boyd,John Bruno,Carl Cocomo,Drama Romance Crime,gone with the pope,"Bill Boyd John Bruno Carl Cocomo Bill Boyd, John Bruno, Carl Cocomo, Lorenzo Dardado, Paul DiAmico, Steve DiBiaso, Nola Hand, Jeanne Hibbard Drama Romance Crime"
"Chris Brasher, Davinder Gill, Tom Krueger, Chiara Lepora",Chris Brasher,Davinder Gill,Tom Krueger,Documentary,living in emergency,"Chris Brasher Davinder Gill Tom Krueger Chris Brasher, Davinder Gill, Tom Krueger, Chiara Lepora Documentary"
Neil Jordan,Colin Farrell,Stephen Rea,Alicja Bachleda,Drama Romance,ondine,Colin Farrell Stephen Rea Alicja Bachleda Neil Jordan Drama Romance
Joe Carnahan,Liam Neeson,Bradley Cooper,"Quinton ""Rampage"" Jackson",Thriller Action Adventure Comedy Crime,the a-team,"Liam Neeson Bradley Cooper Quinton ""Rampage"" Jackson Joe Carnahan Thriller Action Adventure Comedy Crime"
Harald Zwart,Jackie Chan,Jaden Smith,Taraji P. Henson,Action Adventure Drama Family,the karate kid,Jackie Chan Jaden Smith Taraji P. Henson Harald Zwart Action Adventure Drama Family
"Heidi Ewing, Rachel Grady",Heidi Ewing,Rachel Grady (directors),unknown,Documentary,12th & delaware,"Heidi Ewing Rachel Grady (directors) unknown Heidi Ewing, Rachel Grady Documentary"
"Anna Mouglalis, Mads Mikkelsen",Anna Mouglalis,Mads Mikkelsen,unknown,Drama Romance,coco chanel & igor stravinsky,"Anna Mouglalis Mads Mikkelsen unknown Anna Mouglalis, Mads Mikkelsen Drama Romance"
Joan Rivers,Joan Rivers,unknown,unknown,Documentary,joan rivers: a piece of work,Joan Rivers unknown unknown Joan Rivers Documentary
Madeleine Sackler,Madeleine Sackler,unknown,unknown,Documentary Thriller,the lottery,Madeleine Sackler unknown unknown Madeleine Sackler Documentary Thriller
Debra Granik,Jennifer Lawrence,John Hawkes,Garret Dillahunt,Drama,winter's bone,Jennifer Lawrence John Hawkes Garret Dillahunt Debra Granik Drama
Jimmy Hayward,Josh Brolin,John Malkovich,Megan Fox,Action Western Drama Fantasy Thriller,jonah hex,Josh Brolin John Malkovich Megan Fox Jimmy Hayward Action Western Drama Fantasy Thriller
Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Animation Family Comedy,toy story 3,Tom Hanks Tim Allen Joan Cusack Lee Unkrich Animation Family Comedy
"Bill Ross IV, Turner Ross",Bill Ross IV,Turner Ross (directors),unknown,Documentary,45365,"Bill Ross IV Turner Ross (directors) unknown Bill Ross IV, Turner Ross Documentary"
Reed Cowan,Reed Cowan,unknown,unknown,Documentary,8: the mormon proposition,Reed Cowan unknown unknown Reed Cowan Documentary
Michelangelo Antonioni,Cesare Pavese (novel); Eleonora Rossi Drago,Valentina Cortese,Madeleine Fischer,Romance Drama,le amiche,Cesare Pavese (novel); Eleonora Rossi Drago Valentina Cortese Madeleine Fischer Michelangelo Antonioni Romance Drama
"Jay Duplass, Mark Duplass",John C. Reilly,Jonah Hill,Marisa Tomei,Comedy Drama Romance,cyrus,"John C. Reilly Jonah Hill Marisa Tomei Jay Duplass, Mark Duplass Comedy Drama Romance"
Luca Guadagnino,Tilda Swinton,Flavio Parenti,Gabriele Ferzetti,Documentary,i am love,Tilda Swinton Flavio Parenti Gabriele Ferzetti Luca Guadagnino Documentary
Michael Winterbottom,Casey Affleck,Jessica Alba,Kate Hudson,Crime Drama Thriller,the killer inside me,Casey Affleck Jessica Alba Kate Hudson Michael Winterbottom Crime Drama Thriller
"Kate Davis, David Heilbroner",Kate Davis,David Heilbroner (directors); David Heilbroner (screenplay),unknown,Documentary,stonewall uprising,"Kate Davis David Heilbroner (directors); David Heilbroner (screenplay) unknown Kate Davis, David Heilbroner Documentary"
James Mangold,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Action Comedy,knight and day,Tom Cruise Cameron Diaz Peter Sarsgaard James Mangold Action Comedy
Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,Comedy,grown ups,Adam Sandler Kevin James Chris Rock Dennis Dugan Comedy
"Hideo Sugawara, Tomio Aoki, Tatsuo Saitō",Hideo Sugawara,Tomio Aoki,Tatsuo Saitō,Documentary,"i was born, but...","Hideo Sugawara Tomio Aoki Tatsuo Saitō Hideo Sugawara, Tomio Aoki, Tatsuo Saitō Documentary"
"Tim Hetherington, Sebastian Junger",Tim Hetherington,Sebastian Junger (directors),unknown,War Documentary,restrepo,"Tim Hetherington Sebastian Junger (directors) unknown Tim Hetherington, Sebastian Junger War Documentary"
Oliver Stone,Oliver Stone (director),unknown,unknown,Documentary,south of the border,Oliver Stone (director) unknown unknown Oliver Stone Documentary
Alain Resnais,Christian Gailly (novel); André Dussollier,Sabine Azéma,Emmanuelle Devos,Romance Drama,wild grass,Christian Gailly (novel); André Dussollier Sabine Azéma Emmanuelle Devos Alain Resnais Romance Drama
David Slade,Kristen Stewart,Robert Pattinson,Taylor Lautner,Adventure Fantasy Drama Romance,the twilight saga: eclipse,Kristen Stewart Robert Pattinson Taylor Lautner David Slade Adventure Fantasy Drama Romance
Taylor Hackford,Helen Mirren,Joe Pesci,Sergio Peris-Mencheta,Drama,love ranch,Helen Mirren Joe Pesci Sergio Peris-Mencheta Taylor Hackford Drama
M. Night Shyamalan,Noah Ringer,Dev Patel,Nicola Peltz,Action Adventure Fantasy,the last airbender,Noah Ringer Dev Patel Nicola Peltz M. Night Shyamalan Action Adventure Fantasy
Angela Ismailos,Bernardo Bertolucci,Catherine Braillat,David Lynch,Documentary,great directors,Bernardo Bertolucci Catherine Braillat David Lynch Angela Ismailos Documentary
Beadie Finzi,Beadie Finzi (director),unknown,unknown,Documentary,only when i dance,Beadie Finzi (director) unknown unknown Beadie Finzi Documentary
"Chris Renaud, Pierre Coffin",Steve Carell,Jason Segel,Russell Brand,Family Animation Comedy,despicable me,"Steve Carell Jason Segel Russell Brand Chris Renaud, Pierre Coffin Family Animation Comedy"
Nimród Antal,Adrien Brody,Topher Grace,Alice Braga,Science Fiction Action Thriller,predators,Adrien Brody Topher Grace Alice Braga Nimród Antal Science Fiction Action Thriller
Lisa Cholodenko,Annette Bening,Julianne Moore,Mark Ruffalo,Comedy Drama,the kids are all right,Annette Bening Julianne Moore Mark Ruffalo Lisa Cholodenko Comedy Drama
Daniel Alfredson,Michael Nyqvist,Noomi Rapace,unknown,Drama Action Thriller Crime Mystery,the girl who played with fire,Michael Nyqvist Noomi Rapace unknown Daniel Alfredson Drama Action Thriller Crime Mystery
Manuela Velasco,Manuela Velasco,unknown,unknown,Thriller Horror,rec 2,Manuela Velasco unknown unknown Manuela Velasco Thriller Horror
"Richard Windsor, Nichola Burley, Ashley Banjo, George Sampson, Diversity, Flawless, Charlie Bruce",Richard Windsor,Nichola Burley,Ashley Banjo,Music Drama Romance,streetdance 3d,"Richard Windsor Nichola Burley Ashley Banjo Richard Windsor, Nichola Burley, Ashley Banjo, George Sampson, Diversity, Flawless, Charlie Bruce Music Drama Romance"
Nicolas Winding Refn,Mads Mikkelsen,unknown,unknown,Adventure Drama Action Fantasy,valhalla rising,Mads Mikkelsen unknown unknown Nicolas Winding Refn Adventure Drama Action Fantasy
Ben Steinbauer,Ben Steinbauer (director); Jack Rebney,Joe Pickett,Nick Preuher,Documentary Comedy,winnebago man,Ben Steinbauer (director); Jack Rebney Joe Pickett Nick Preuher Ben Steinbauer Documentary Comedy
Jon Turteltaub,Nicolas Cage,Jay Baruchel,Alfred Molina,Fantasy Adventure Action,the sorcerer's apprentice,Nicolas Cage Jay Baruchel Alfred Molina Jon Turteltaub Fantasy Adventure Action
Christopher Nolan,Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Action Science Fiction Adventure,inception,Leonardo DiCaprio Ken Watanabe Joseph Gordon-Levitt Christopher Nolan Action Science Fiction Adventure
"Lucas Cruikshank, Pixie Lott",Lucas Cruikshank,Pixie Lott,unknown,Comedy Family Adventure TV Movie,fred: the movie,"Lucas Cruikshank Pixie Lott unknown Lucas Cruikshank, Pixie Lott Comedy Family Adventure TV Movie"
Lance Daly,Gerry Moore,Shane Curry,Stephen Rea,Drama,kisses,Gerry Moore Shane Curry Stephen Rea Lance Daly Drama
Stewart Raffill,Alexis Blesiada,Alanna P,London Clark,Comedy Music Family,standing ovation,Alexis Blesiada Alanna P London Clark Stewart Raffill Comedy Music Family
Elizabeth Allen,Joey King,Selena Gomez,John Corbett,Comedy Family,ramona and beezus,Joey King Selena Gomez John Corbett Elizabeth Allen Comedy Family
Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Action Mystery Thriller,salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Phillip Noyce Action Mystery Thriller
Lucy Walker,Lucy Walker (director),unknown,unknown,Documentary,countdown to zero,Lucy Walker (director) unknown unknown Lucy Walker Documentary
Christian Carion,Christian Carion (director); Fred Ward,Willem Dafoe,Diane Kruger,Comedy Drama,farewell,Christian Carion (director); Fred Ward Willem Dafoe Diane Kruger Christian Carion Comedy Drama
Todd Solondz,Ally Sheedy,Allison Janney,Ciarán Hinds,Comedy Drama,life during wartime,Ally Sheedy Allison Janney Ciarán Hinds Todd Solondz Comedy Drama
"Andrew Thompson, Lucy Bailey",Andrew Thompson,Lucy Bailey (directors),unknown,Documentary,mugabe and the white african,"Andrew Thompson Lucy Bailey (directors) unknown Andrew Thompson, Lucy Bailey Documentary"
Victor Nuñez,Victor Nuñez (director); Kuno Becker,Miguel Sandoval,Monique Gabriela Curnen,Drama,spoken word,Victor Nuñez (director); Kuno Becker Miguel Sandoval Monique Gabriela Curnen Victor Nuñez Drama
Brad Peyton,Chris O'Donnell,Jack McBrayer,Fred Armisen,Comedy Family Action Fantasy Adventure Mystery,cats & dogs: the revenge of kitty galore,Chris O'Donnell Jack McBrayer Fred Armisen Brad Peyton Comedy Family Action Fantasy Adventure Mystery
Burr Steers,Burr Steers (director); Burr Steers,Craig Pearce,James Schamus,Romance Drama,charlie st. cloud,Burr Steers (director); Burr Steers Craig Pearce James Schamus Burr Steers Romance Drama
Jay Roach,Steve Carell,Paul Rudd,Zach Galifianakis,Comedy,dinner for schmucks,Steve Carell Paul Rudd Zach Galifianakis Jay Roach Comedy
Ryan Piers Williams,America Ferrera,Wilmer Valderrama,Melissa Leo,Drama,the dry land,America Ferrera Wilmer Valderrama Melissa Leo Ryan Piers Williams Drama
"Shari Springer Berman, Robert Pulcini",Shari Springer Berman,Robert Pulcini (directors); Kevin Kline,Paul Dano,Comedy,the extra man,"Shari Springer Berman Robert Pulcini (directors); Kevin Kline Paul Dano Shari Springer Berman, Robert Pulcini Comedy"
Aaron Schneider,Robert Duvall,Sissy Spacek,Bill Murray,Comedy Drama Mystery,get low,Robert Duvall Sissy Spacek Bill Murray Aaron Schneider Comedy Drama Mystery
"Hugh Hefner, Jesse Jackson, George Lucas, James Caan",Hugh Hefner,Jesse Jackson,George Lucas,Documentary,"hugh hefner: playboy, activist and rebel","Hugh Hefner Jesse Jackson George Lucas Hugh Hefner, Jesse Jackson, George Lucas, James Caan Documentary"
Leon Gast,Leon Gast (director),unknown,unknown,Documentary,smash his camera,Leon Gast (director) unknown unknown Leon Gast Documentary
Joe Winston,Joe Winston,unknown,unknown,Comedy Documentary Romance,what's the matter with kansas?,Joe Winston unknown unknown Joe Winston Comedy Documentary Romance
Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Romance Drama,flipped,Madeline Carroll Callan McAuliffe Rebecca De Mornay Rob Reiner Romance Drama
Adam McKay,Will Ferrell,Mark Wahlberg,Eva Mendes,Comedy Action Crime,the other guys,Will Ferrell Mark Wahlberg Eva Mendes Adam McKay Comedy Action Crime
Jon Chu,Jon Chu (director); Sharni Vinson,unknown,unknown,Drama Romance,step up 3d,Jon Chu (director); Sharni Vinson unknown unknown Jon Chu Drama Romance
Nicolo Donato,Nicolo Donato (director); Thure Lindhardt and David Dencik,unknown,unknown,Drama Action Thriller,brotherhood,Nicolo Donato (director); Thure Lindhardt and David Dencik unknown unknown Nicolo Donato Drama Action Thriller
"Patricia Clarkson, Alexander Siddig",Patricia Clarkson,Alexander Siddig,unknown,Drama Romance,cairo time,"Patricia Clarkson Alexander Siddig unknown Patricia Clarkson, Alexander Siddig Drama Romance"
J Blakeson,J Blakeson (director); Gemma Arterton,Martin Compston,Eddie Marsan,Crime Drama Thriller,the disappearance of alice creed,J Blakeson (director); Gemma Arterton Martin Compston Eddie Marsan J Blakeson Crime Drama Thriller
Samuel Maoz,Samuel Maoz (director),unknown,unknown,Drama War,lebanon,Samuel Maoz (director) unknown unknown Samuel Maoz Drama War
George Gallo,Luke Wilson,Giovanni Ribisi,Gabriel Macht,Drama Comedy Crime,middle men,Luke Wilson Giovanni Ribisi Gabriel Macht George Gallo Drama Comedy Crime
"Torkel Petersson, Tom Ljungman, Gustaf Skarsgård",Torkel Petersson,Tom Ljungman,Gustaf Skarsgård,Drama Comedy,"patrik, age 1.5","Torkel Petersson Tom Ljungman Gustaf Skarsgård Torkel Petersson, Tom Ljungman, Gustaf Skarsgård Drama Comedy"
Lou Ye,Lou Ye (director),unknown,unknown,Horror,spring fever,Lou Ye (director) unknown unknown Lou Ye Horror
Joel Schumacher,Joel Schumacher (director); Chace Crawford,Emma Roberts,"Curtis ""50 Cent"" Jackson",Thriller Crime,twelve,"Joel Schumacher (director); Chace Crawford Emma Roberts Curtis ""50 Cent"" Jackson Joel Schumacher Thriller Crime"
"Alan Rickman, Conrad Anker, Hugh Dancy, Leo Houlding, Liam Neeson, Natasha Richardson, Ralph Fiennes",Alan Rickman,Conrad Anker,Hugh Dancy,Documentary,the wildest dream,"Alan Rickman Conrad Anker Hugh Dancy Alan Rickman, Conrad Anker, Hugh Dancy, Leo Houlding, Liam Neeson, Natasha Richardson, Ralph Fiennes Documentary"
nan,nan,unknown,unknown,Animation Family,strawberry shortcake: the glimmerberry ball movie,nan unknown unknown nan Animation Family
Ryan Murphy,Julia Roberts,Javier Bardem,James Franco,Drama Romance,eat pray love,Julia Roberts Javier Bardem James Franco Ryan Murphy Drama Romance
Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,Thriller Adventure Action,the expendables,Sylvester Stallone Jason Statham Jet Li Sylvester Stallone Thriller Adventure Action
Edgar Wright,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Comedy Action Romance Music Fantasy,scott pilgrim vs. the world,Michael Cera Mary Elizabeth Winstead Kieran Culkin Edgar Wright Comedy Action Romance Music Fantasy
David Michôd,Ben Mendelsohn,Joel Edgerton,Guy Pearce,Drama Thriller Crime Mystery,animal kingdom,Ben Mendelsohn Joel Edgerton Guy Pearce David Michôd Drama Thriller Crime Mystery
Jesse Johnson,Frederic Doss,Robert Gordon Spencer,John Ceallach,Thriller,double negative,Frederic Doss Robert Gordon Spencer John Ceallach Jesse Johnson Thriller
"Micki Dickoff, Tony Pagano",Micki Dickoff,Tony Pagano (directors),unknown,Documentary,neshoba,"Micki Dickoff Tony Pagano (directors) unknown Micki Dickoff, Tony Pagano Documentary"
Quentin Lee,Quentin Lee (director); Archie Kao,Cathy Shim,Chris Zylka,Comedy Romance,the people i've slept with,Quentin Lee (director); Archie Kao Cathy Shim Chris Zylka Quentin Lee Comedy Romance
Annamarie Jacir,Annamarie Jacir (director/screenplay),unknown,unknown,Drama Romance,salt of this sea,Annamarie Jacir (director/screenplay) unknown unknown Annamarie Jacir Drama Romance
Josh Crook,Josh Crook (director),unknown,unknown,Crime Drama,la soga,Josh Crook (director) unknown unknown Josh Crook Crime Drama
Gorō Miyazaki,Timothy Dalton,Willem Dafoe,Matt Levin,Animation Fantasy Adventure,tales from earthsea,Timothy Dalton Willem Dafoe Matt Levin Gorō Miyazaki Animation Fantasy Adventure
"Jason Friedberg, Aaron Seltzer",Matt Lanter,Jenn Proske,Chris Riggi,Comedy,vampires suck,"Matt Lanter Jenn Proske Chris Riggi Jason Friedberg, Aaron Seltzer Comedy"
Erik White,Bow Wow,Ice Cube,Brandon T. Jackson,Comedy,lottery ticket,Bow Wow Ice Cube Brandon T. Jackson Erik White Comedy
Susanna White,Emma Thompson,Maggie Gyllenhaal,Rhys Ifans,Comedy Fantasy Family,nanny mcphee and the big bang,Emma Thompson Maggie Gyllenhaal Rhys Ifans Susanna White Comedy Fantasy Family
Alexandre Aja,Elisabeth Shue,Adam Scott,Jerry O'Connell,Comedy Horror,piranha 3d,Elisabeth Shue Adam Scott Jerry O'Connell Alexandre Aja Comedy Horror
"Josh Gordon, Will Speck",Jason Bateman,Jennifer Aniston,Patrick Wilson,Comedy Romance Drama,the switch,"Jason Bateman Jennifer Aniston Patrick Wilson Josh Gordon, Will Speck Comedy Romance Drama"
Robert Guédiguian,Robert Guédiguian (director/screenplay),unknown,unknown,War Drama History,the army of crime,Robert Guédiguian (director/screenplay) unknown unknown Robert Guédiguian War Drama History
Bruce Beresford,Bruce Beresford (director),unknown,unknown,Drama Romance,mao's last dancer,Bruce Beresford (director) unknown unknown Bruce Beresford Drama Romance
Fatih Akın,Fatih Akın (director),unknown,unknown,Drama Comedy,soul kitchen,Fatih Akın (director) unknown unknown Fatih Akın Drama Comedy
Pat Tillman,Pat Tillman,unknown,unknown,Documentary,the tillman story,Pat Tillman unknown unknown Pat Tillman Documentary
